t_s,target_rad,theta,omega,accel,jerk,isExec,cruiseN,skipAccel
0.000000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.001000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.002000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.003000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.004000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.005000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.006000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.007000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.008000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.009000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.010000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.011000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.012000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.013000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.014000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.015000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.016000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.017000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.018000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.019000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.020000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.021000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.022000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.023000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.024000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.025000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.026000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.027000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.028000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.029000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.030000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.031000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.032000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.033000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.034000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.035000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.036000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.037000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.038000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.039000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.040000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.041000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.042000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.043000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.044000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.045000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.046000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.047000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.048000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.049000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.050000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.051000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
0.052000,0.0000000,0.0000000,0.0000000,0.0000000,-nan,0,0,0
